s,Pa,m/s,
Time,"pres","error","iter"
 6.9639532E-001, 3.4318339E-002, 3.4416480E-004, 1.0000000E+000
 6.9808711E-001, 3.3764795E-002, 3.4002969E-004, 1.0000000E+000
 7.0034282E-001, 3.3240763E-002, 3.8442110E-004, 1.0000000E+000
 7.0203460E-001, 3.2606815E-002, 4.0784064E-004, 1.0000000E+000
 7.0429032E-001, 3.1968592E-002, 4.3156498E-004, 1.0000000E+000
 7.0654603E-001, 3.1190073E-002, 4.3867072E-004, 1.0000000E+000
 7.0823781E-001, 3.0545272E-002, 4.3388413E-004, 1.0000000E+000
 7.1049352E-001, 2.9936195E-002, 4.3123920E-004, 1.0000000E+000
 7.1218531E-001, 2.9367180E-002, 4.2400555E-004, 1.0000000E+000
 7.1444102E-001, 2.8787280E-002, 4.1009656E-004, 1.0000000E+000
 7.1613280E-001, 2.8285689E-002, 4.0826341E-004, 1.0000000E+000
 7.1838852E-001, 2.7826366E-002, 3.9999348E-004, 1.0000000E+000
 7.2008030E-001, 2.7383076E-002, 3.8619371E-004, 1.0000000E+000
 7.2233601E-001, 2.6988190E-002, 3.8186962E-004, 1.0000000E+000
 7.2402780E-001, 2.6665435E-002, 3.9199683E-004, 1.0000000E+000
 7.2628351E-001, 2.6339683E-002, 3.5691289E-004, 1.0000000E+000
 7.2853922E-001, 2.6069997E-002, 3.6588315E-004, 1.0000000E+000
 7.3023100E-001, 2.5866342E-002, 3.5330908E-004, 1.0000000E+000
 7.3248672E-001, 2.5695109E-002, 3.1002961E-004, 1.0000000E+000
 7.3417850E-001, 2.5553683E-002, 2.6631941E-004, 1.0000000E+000
 7.3643421E-001, 2.5445857E-002, 2.2860315E-004, 1.0000000E+000
 7.3812600E-001, 2.5369695E-002, 1.9703752E-004, 1.0000000E+000
 7.4038171E-001, 2.5329880E-002, 1.7620597E-004, 1.0000000E+000
 7.4246788E-001, 2.5372840E-002, 1.9963717E-004, 1.0000000E+000
 7.4449754E-001, 2.5466021E-002, 2.2979803E-004, 1.0000000E+000
 7.4601979E-001, 2.5575181E-002, 2.5409028E-004, 1.0000000E+000
 7.4804945E-001, 2.5721944E-002, 2.7498832E-004, 1.0000000E+000
 7.5007911E-001, 2.5930029E-002, 2.9611600E-004, 1.0000000E+000
 7.5210877E-001, 2.6177476E-002, 3.1366503E-004, 1.0000000E+000
 7.5413843E-001, 2.6457430E-002, 3.2830042E-004, 1.0000000E+000
 7.5616809E-001, 2.6761392E-002, 3.3943414E-004, 1.0000000E+000
 7.5819775E-001, 2.7079790E-002, 3.4722767E-004, 1.0000000E+000
 7.6022741E-001, 2.7402663E-002, 3.5103914E-004, 1.0000000E+000
 7.6225707E-001, 2.7720248E-002, 3.5081953E-004, 1.0000000E+000
 7.6428673E-001, 2.8023586E-002, 3.4681897E-004, 1.0000000E+000
 7.6631639E-001, 2.8305090E-002, 3.3899847E-004, 1.0000000E+000
 7.6834605E-001, 2.8558863E-002, 3.2725479E-004, 1.0000000E+000
 7.7037571E-001, 2.8780738E-002, 3.1155582E-004, 1.0000000E+000
 7.7240537E-001, 2.8968119E-002, 2.9186014E-004, 1.0000000E+000
 7.7443504E-001, 2.9119695E-002, 2.6813044E-004, 1.0000000E+000
 7.7646470E-001, 2.9367060E-002, 2.3840708E-004, 1.0000000E+000
 7.7849436E-001, 2.9524546E-002, 2.2223099E-004, 1.0000000E+000
 7.8001660E-001, 2.9645283E-002, 2.6661391E-004, 1.0000000E+000
 7.8204626E-001, 2.9732050E-002, 3.0248170E-004, 1.0000000E+000
 7.8407592E-001, 2.9783104E-002, 3.2761667E-004, 1.0000000E+000
 7.8610558E-001, 2.9753174E-002, 3.6589971E-004, 1.0000000E+000
 7.8813524E-001, 2.9657971E-002, 4.0078757E-004, 1.0000000E+000
 7.9016490E-001, 2.9487373E-002, 4.2161158E-004, 1.0000000E+000
 7.9219457E-001, 2.9233141E-002, 4.6411272E-004, 1.0000000E+000
 7.9422423E-001, 2.8850494E-002, 4.8848764E-004, 1.0000000E+000
 7.9625389E-001, 2.8430844E-002, 4.1754629E-004, 1.2500000E+000
 7.9828355E-001, 2.7780766E-002, 4.3909624E-004, 1.2500000E+000
 8.0031321E-001, 2.7093662E-002, 4.4444952E-004, 1.2500000E+000
 8.0234287E-001, 2.6338792E-002, 4.5830358E-004, 1.2500000E+000
 8.0437253E-001, 2.5544196E-002, 4.6079050E-004, 1.2500000E+000
 8.0640219E-001, 2.4705685E-002, 4.3900173E-004, 1.2500000E+000
 8.0843185E-001, 2.3856336E-002, 4.6312564E-004, 1.2500000E+000
 8.1046151E-001, 2.3070809E-002, 4.3015854E-004, 1.5000000E+000
 8.1249117E-001, 2.2456485E-002, 4.3903603E-004, 1.2500000E+000
 8.1401342E-001, 2.1956263E-002, 4.1915697E-004, 1.3333333E+000
 8.1604308E-001, 2.1487604E-002, 4.1904538E-004, 1.2500000E+000
 8.1807274E-001, 2.1115766E-002, 4.2052862E-004, 1.2500000E+000
 8.2010240E-001, 2.0840712E-002, 4.3197853E-004, 1.2500000E+000
 8.2213206E-001, 2.0683242E-002, 4.0925306E-004, 1.0000000E+000
 8.2416172E-001, 2.0635153E-002, 3.7327470E-004, 1.2500000E+000
 8.2619138E-001, 2.0691484E-002, 3.9752272E-004, 1.2500000E+000
 8.2822104E-001, 2.0833993E-002, 3.7690107E-004, 1.2500000E+000
 8.3025070E-001, 2.1070803E-002, 3.5287620E-004, 1.0000000E+000
 8.3228036E-001, 2.1355797E-002, 3.7200882E-004, 1.2500000E+000
 8.3431002E-001, 2.1734646E-002, 4.4178050E-004, 1.0000000E+000
 8.3633968E-001, 2.2171547E-002, 3.4979287E-004, 1.2500000E+000
 8.3836934E-001, 2.2642184E-002, 4.2992636E-004, 1.0000000E+000
 8.4039900E-001, 2.3201417E-002, 4.0409519E-004, 1.2500000E+000
 8.4242867E-001, 2.3735254E-002, 4.0323496E-004, 1.0000000E+000
 8.4445833E-001, 2.4308530E-002, 3.1563587E-004, 1.2500000E+000
 8.4648799E-001, 2.4988033E-002, 4.2283700E-004, 1.2500000E+000
 8.4801023E-001, 2.5476808E-002, 3.5019799E-004, 1.0000000E+000
 8.5003989E-001, 2.6013888E-002, 4.0592758E-004, 1.2500000E+000
 8.5206955E-001, 2.6555871E-002, 4.0975271E-004, 1.2500000E+000
 8.5409921E-001, 2.7000602E-002, 4.0166099E-004, 1.2500000E+000
 8.5612887E-001, 2.7354592E-002, 3.8725584E-004, 1.2500000E+000
 8.5815853E-001, 2.7636099E-002, 3.9150368E-004, 1.2500000E+000
 8.6018820E-001, 2.7783071E-002, 4.1247602E-004, 1.5000000E+000
 8.6221786E-001, 2.7791721E-002, 4.4717472E-004, 1.2500000E+000
 8.6414596E-001, 2.7651287E-002, 4.1888952E-004, 1.5000000E+000
 8.6642913E-001, 2.7358935E-002, 4.4353495E-004, 1.2000000E+000
 8.6825568E-001, 2.6864324E-002, 4.4080336E-004, 1.5000000E+000
 8.7008222E-001, 2.6315370E-002, 4.5762354E-004, 1.2500000E+000
 8.7236539E-001, 2.5599949E-002, 4.2289034E-004, 1.6000000E+000
 8.7419194E-001, 2.4815235E-002, 4.3043168E-004, 1.5000000E+000
 8.7601848E-001, 2.4082918E-002, 4.3486510E-004, 1.5000000E+000
 8.7830166E-001, 2.3254679E-002, 4.3342002E-004, 1.4000000E+000
 8.8012820E-001, 2.2452858E-002, 4.2508711E-004, 1.5000000E+000
 8.8241137E-001, 2.1712148E-002, 4.4066615E-004, 1.4000000E+000
 8.8423792E-001, 2.1054161E-002, 4.5356118E-004, 1.2500000E+000
 8.8606446E-001, 2.0563257E-002, 4.1808987E-004, 1.5000000E+000
 8.8834763E-001, 2.0166757E-002, 4.2146497E-004, 1.2000000E+000
 8.9017418E-001, 1.9970639E-002, 4.1965657E-004, 1.2500000E+000
 8.9200072E-001, 1.9878530E-002, 4.1031284E-004, 1.2500000E+000
 8.9428389E-001, 1.9906699E-002, 4.1770329E-004, 1.2000000E+000
 8.9611044E-001, 2.0065491E-002, 4.4934769E-004, 1.0000000E+000
 8.9839361E-001, 2.0314998E-002, 3.8254833E-004, 1.2000000E+000
 9.0022016E-001, 2.0663328E-002, 4.3444605E-004, 1.2500000E+000
 9.0204670E-001, 2.0992224E-002, 3.4525007E-004, 1.0000000E+000
 9.0432987E-001, 2.1459191E-002, 3.8750181E-004, 1.2000000E+000
 9.0615642E-001, 2.1917012E-002, 3.6517589E-004, 1.0000000E+000
 9.0843959E-001, 2.2424444E-002, 4.6303593E-004, 1.0000000E+000
 9.1026613E-001, 2.2932185E-002, 4.7046983E-004, 1.0000000E+000
 9.1209268E-001, 2.3367486E-002, 3.9035131E-004, 1.2500000E+000
 9.1437585E-001, 2.3864700E-002, 3.8398062E-004, 1.0000000E+000
 9.1620239E-001, 2.4366952E-002, 3.9714761E-004, 1.2500000E+000
 9.1802894E-001, 2.4739814E-002, 3.9346990E-004, 1.0000000E+000
 9.2031211E-001, 2.5107413E-002, 3.5323479E-004, 1.2000000E+000
 9.2213866E-001, 2.5439268E-002, 4.4453078E-004, 1.2500000E+000
 9.2442183E-001, 2.5663672E-002, 4.0572704E-004, 1.0000000E+000
 9.2624837E-001, 2.5807384E-002, 3.9273516E-004, 1.2500000E+000
 9.2807492E-001, 2.5834910E-002, 4.1630396E-004, 1.2500000E+000
 9.3035809E-001, 2.5745290E-002, 4.2864495E-004, 1.4000000E+000
 9.3218463E-001, 2.5547571E-002, 4.1432723E-004, 1.2500000E+000
 9.3401118E-001, 2.5188328E-002, 4.1926219E-004, 1.2500000E+000
 9.3629435E-001, 2.4663254E-002, 4.2167716E-004, 1.4000000E+000
 9.3812089E-001, 2.4040360E-002, 4.4770756E-004, 1.2500000E+000
 9.4040407E-001, 2.3346860E-002, 4.3080922E-004, 1.4000000E+000
 9.4223061E-001, 2.2619928E-002, 4.5451097E-004, 1.2500000E+000
 9.4405716E-001, 2.1968552E-002, 4.3402470E-004, 1.5000000E+000
 9.4634033E-001, 2.1252934E-002, 4.3551386E-004, 1.2000000E+000
 9.4816687E-001, 2.0571470E-002, 4.0683356E-004, 1.5000000E+000
 9.5045005E-001, 2.0099490E-002, 4.2334412E-004, 1.2000000E+000
 9.5227659E-001, 1.9651529E-002, 4.0662898E-004, 1.2500000E+000
 9.5410313E-001, 1.9279244E-002, 4.4437485E-004, 1.2500000E+000
 9.5638631E-001, 1.9018764E-002, 4.2814451E-004, 1.0000000E+000
 9.5821285E-001, 1.8881065E-002, 3.5941329E-004, 1.2500000E+000
 9.6003939E-001, 1.8822355E-002, 4.4761607E-004, 1.0000000E+000
 9.6232257E-001, 1.8830476E-002, 4.4020934E-004, 1.0000000E+000
 9.6414911E-001, 1.8910392E-002, 4.3417970E-004, 1.0000000E+000
 9.6643229E-001, 1.9055912E-002, 4.1179432E-004, 1.0000000E+000
 9.6825883E-001, 1.9246238E-002, 3.9221455E-004, 1.0000000E+000
 9.7008537E-001, 1.9467444E-002, 3.6185041E-004, 1.0000000E+000
 9.7236855E-001, 1.9740579E-002, 3.5288186E-004, 1.0000000E+000
 9.7419509E-001, 2.0047318E-002, 3.4970224E-004, 1.0000000E+000
 9.7602163E-001, 2.0328809E-002, 3.3592818E-004, 1.0000000E+000
 9.7830481E-001, 2.0671948E-002, 3.2377837E-004, 1.0000000E+000
 9.8013135E-001, 2.1017971E-002, 3.3629858E-004, 1.0000000E+000
 9.8241453E-001, 2.1393221E-002, 3.4354790E-004, 1.0000000E+000
 9.8424107E-001, 2.1785828E-002, 3.6546033E-004, 1.0000000E+000
 9.8606761E-001, 2.2100858E-002, 3.8935576E-004, 1.0000000E+000
 9.8835079E-001, 2.2441415E-002, 3.9730370E-004, 1.0000000E+000
 9.9017733E-001, 2.2769573E-002, 4.0185981E-004, 1.0000000E+000
 9.9200387E-001, 2.3000798E-002, 4.2553404E-004, 1.0000000E+000
 9.9428705E-001, 2.3188904E-002, 4.3740575E-004, 1.0000000E+000
 9.9611359E-001, 2.3303014E-002, 4.5401276E-004, 1.0000000E+000
 9.9839677E-001, 2.3341849E-002, 4.7263223E-004, 1.0000000E+000
 1.0002233E+000, 2.3308003E-002, 4.5352592E-004, 1.2500000E+000
 1.0020499E+000, 2.3233473E-002, 3.7186636E-004, 1.0000000E+000
 1.0043330E+000, 2.3024181E-002, 4.4709877E-004, 1.2000000E+000
 1.0061596E+000, 2.2795513E-002, 3.9314433E-004, 1.0000000E+000
 1.0084427E+000, 2.2420006E-002, 4.5010720E-004, 1.2000000E+000
 1.0102693E+000, 2.2066254E-002, 3.9508378E-004, 1.0000000E+000
 1.0120958E+000, 2.1614290E-002, 4.7272293E-004, 1.0000000E+000
 1.0143790E+000, 2.1176932E-002, 3.9802601E-004, 1.2000000E+000
 1.0162056E+000, 2.0651212E-002, 3.8399099E-004, 1.2500000E+000
 1.0180321E+000, 2.0141067E-002, 4.2072968E-004, 1.2500000E+000
 1.0203153E+000, 1.9591312E-002, 4.1039831E-004, 1.0000000E+000
 1.0221418E+000, 1.9103030E-002, 3.6886206E-004, 1.2500000E+000
 1.0244250E+000, 1.8640657E-002, 4.2207477E-004, 1.2000000E+000
 1.0260689E+000, 1.8209263E-002, 3.6884050E-004, 1.0000000E+000
 1.0281237E+000, 1.7842863E-002, 4.1489147E-004, 1.0000000E+000
 1.0301785E+000, 1.7524158E-002, 4.1644403E-004, 1.0000000E+000
 1.0322334E+000, 1.7317645E-002, 4.1431901E-004, 1.0000000E+000
 1.0342882E+000, 1.7205161E-002, 4.1517011E-004, 1.0000000E+000
 1.0363431E+000, 1.7180057E-002, 4.0433303E-004, 1.0000000E+000
 1.0383979E+000, 1.7235956E-002, 3.7730518E-004, 1.0000000E+000
 1.0400418E+000, 1.7342128E-002, 3.8109466E-004, 1.0000000E+000
 1.0420966E+000, 1.7510032E-002, 3.4686424E-004, 1.0000000E+000
 1.0441515E+000, 1.7738698E-002, 3.3387812E-004, 1.0000000E+000
 1.0462063E+000, 1.8010554E-002, 3.1415685E-004, 1.0000000E+000
 1.0482612E+000, 1.8290597E-002, 3.0199890E-004, 1.0000000E+000
 1.0503160E+000, 1.8596269E-002, 2.7934741E-004, 1.0000000E+000
 1.0523708E+000, 1.8904213E-002, 2.5713326E-004, 1.0000000E+000
 1.0540147E+000, 1.9106449E-002, 2.8472734E-004, 1.0000000E+000
 1.0560696E+000, 1.9305702E-002, 2.9265909E-004, 1.0000000E+000
 1.0581244E+000, 1.9590791E-002, 2.5504254E-004, 1.0000000E+000
 1.0601792E+000, 1.9851390E-002, 2.9217961E-004, 1.0000000E+000
 1.0622341E+000, 2.0115470E-002, 3.0830603E-004, 1.0000000E+000
 1.0642889E+000, 2.0339760E-002, 3.2644426E-004, 1.0000000E+000
 1.0663438E+000, 2.0508865E-002, 3.4469107E-004, 1.0000000E+000
 1.0683986E+000, 2.0604008E-002, 3.8587375E-004, 1.0000000E+000
 1.0700425E+000, 2.0654360E-002, 3.8146002E-004, 1.0000000E+000
 1.0720973E+000, 2.0658473E-002, 4.1879694E-004, 1.0000000E+000
 1.0741522E+000, 2.0602040E-002, 4.6107493E-004, 1.0000000E+000
 1.0762070E+000, 2.0482357E-002, 3.9937069E-004, 1.2000000E+000
 1.0782619E+000, 2.0277684E-002, 4.2954396E-004, 1.0000000E+000
 1.0803167E+000, 1.9990422E-002, 3.9375960E-004, 1.2000000E+000
 1.0823715E+000, 1.9602431E-002, 4.6072570E-004, 1.0000000E+000
 1.0840154E+000, 1.9247626E-002, 3.7466943E-004, 1.2500000E+000
 1.0860703E+000, 1.8796026E-002, 4.6113205E-004, 1.0000000E+000
 1.0881251E+000, 1.8299353E-002, 3.8718298E-004, 1.2000000E+000
 1.0901799E+000, 1.7698783E-002, 4.2740060E-004, 1.2000000E+000
 1.0922348E+000, 1.7162289E-002, 3.9857803E-004, 1.2000000E+000
 1.0942896E+000, 1.6672858E-002, 3.9823573E-004, 1.2000000E+000
 1.0963445E+000, 1.6232389E-002, 4.2015667E-004, 1.2000000E+000
 1.0983993E+000, 1.5883337E-002, 3.7413008E-004, 1.2000000E+000
 1.1000432E+000, 1.5655660E-002, 3.7008778E-004, 1.0000000E+000
 1.1020980E+000, 1.5491746E-002, 3.4959046E-004, 1.2000000E+000
 1.1041529E+000, 1.5390783E-002, 3.4568104E-004, 1.2000000E+000
 1.1062077E+000, 1.5369031E-002, 3.5507607E-004, 1.2000000E+000
 1.1082626E+000, 1.5409850E-002, 3.6135472E-004, 1.2000000E+000
 1.1103174E+000, 1.5483118E-002, 3.5110563E-004, 1.0000000E+000
 1.1123722E+000, 1.5624416E-002, 4.4372138E-004, 1.0000000E+000
 1.1140161E+000, 1.5782514E-002, 4.3082123E-004, 1.0000000E+000
 1.1160710E+000, 1.5972444E-002, 4.1616004E-004, 1.0000000E+000
 1.1181258E+000, 1.6224541E-002, 4.0062218E-004, 1.0000000E+000
 1.1201807E+000, 1.6480951E-002, 4.3815987E-004, 1.2000000E+000
 1.1222355E+000, 1.6779202E-002, 3.4515348E-004, 1.2000000E+000
 1.1242903E+000, 1.7132667E-002, 3.7860333E-004, 1.2000000E+000
 1.1263452E+000, 1.7440783E-002, 3.6887466E-004, 1.4000000E+000
 1.1284000E+000, 1.7777591E-002, 3.7028799E-004, 1.4000000E+000
 1.1300439E+000, 1.8016752E-002, 3.4696216E-004, 1.5000000E+000
 1.1320987E+000, 1.8162445E-002, 3.5561264E-004, 1.6000000E+000
 1.1341536E+000, 1.8222658E-002, 3.9622961E-004, 1.4000000E+000
 1.1362084E+000, 1.8168821E-002, 4.3972549E-004, 1.6000000E+000
 1.1382633E+000, 1.7959431E-002, 4.2176212E-004, 1.6000000E+000
 1.1403181E+000, 1.7565178E-002, 4.4759265E-004, 1.8000000E+000
 1.1423729E+000, 1.7008855E-002, 4.4350529E-004, 1.8000000E+000
 1.1440168E+000, 1.6339278E-002, 4.0198048E-004, 2.0000000E+000
 1.1460717E+000, 1.5570489E-002, 4.2658775E-004, 2.0000000E+000
 1.1481265E+000, 1.4650957E-002, 4.3625239E-004, 2.0000000E+000
 1.1501814E+000, 1.3704251E-002, 4.3475231E-004, 2.0000000E+000
 1.1522362E+000, 1.2776005E-002, 4.2570598E-004, 2.0000000E+000
 1.1542910E+000, 1.1909229E-002, 4.1009730E-004, 2.0000000E+000
 1.1563459E+000, 1.1142465E-002, 3.9066242E-004, 2.0000000E+000
 1.1584007E+000, 1.0516739E-002, 3.6234652E-004, 2.0000000E+000
 1.1600446E+000, 1.0041208E-002, 3.1815900E-004, 2.0000000E+000
 1.1620994E+000, 9.6155832E-003, 2.8886116E-004, 2.0000000E+000
 1.1641543E+000, 9.1807698E-003, 3.4897582E-004, 1.8000000E+000
 1.1662091E+000, 8.7320669E-003, 2.9315375E-004, 2.0000000E+000
 1.1682640E+000, 8.2744866E-003, 3.0011548E-004, 2.0000000E+000
 1.1703188E+000, 7.7065785E-003, 3.2691335E-004, 2.0000000E+000
 1.1723737E+000, 6.9674579E-003, 3.2901291E-004, 2.0000000E+000
 1.1740175E+000, 6.1102301E-003, 3.3738939E-004, 2.0000000E+000
 1.1760724E+000, 4.9748245E-003, 3.3166830E-004, 2.0000000E+000
 1.1781272E+000, 3.3235903E-003, 3.2263338E-004, 2.0000000E+000
 1.1801821E+000, 1.2193006E-003, 3.0532332E-004, 2.0000000E+000
 1.1822369E+000,-1.3707939E-003, 3.4525483E-004, 2.0000000E+000
 1.1842917E+000,-4.1630071E-003, 3.8531838E-004, 2.0000000E+000
 1.1863466E+000,-7.2097517E-003, 4.6685768E-004, 2.0000000E+000
 1.1884014E+000,-1.0551997E-002, 4.3824286E-004, 2.4000000E+000
 1.1900453E+000,-1.3743043E-002, 4.3367539E-004, 2.5000000E+000
 1.1921001E+000,-1.7008705E-002, 4.3891242E-004, 2.6000000E+000
 1.1941550E+000,-2.0721441E-002, 3.9501944E-004, 3.0000000E+000
 1.1962098E+000,-2.4383037E-002, 4.2088271E-004, 3.0000000E+000
 1.1982647E+000,-2.7717186E-002, 4.5359808E-004, 3.0000000E+000
 1.2003195E+000,-3.0579346E-002, 4.6969417E-004, 3.0000000E+000
 1.2023744E+000,-3.2997586E-002, 4.9157726E-004, 3.0000000E+000
 1.2040182E+000,-3.5017932E-002, 4.5626671E-004, 3.2500000E+000
 1.2060731E+000,-3.6834930E-002, 4.3984767E-004, 3.4000000E+000
 1.2081279E+000,-3.8667086E-002, 4.7903386E-004, 3.0000000E+000
 1.2101828E+000,-4.0385492E-002, 4.8159293E-004, 3.0000000E+000
 1.2122376E+000,-4.2193074E-002, 4.6861891E-004, 3.0000000E+000
 1.2142924E+000,-4.4286726E-002, 4.4562462E-004, 3.0000000E+000
 1.2163473E+000,-4.6817685E-002, 4.3210671E-004, 3.0000000E+000
 1.2184021E+000,-4.9943850E-002, 4.5737884E-004, 3.0000000E+000
 1.2200460E+000,-5.3394714E-002, 4.6527894E-004, 3.0000000E+000
 1.2221008E+000,-5.7444979E-002, 4.5441546E-004, 3.0000000E+000
 1.2241557E+000,-6.2466131E-002, 4.3640641E-004, 3.0000000E+000
 1.2262105E+000,-6.7963714E-002, 4.3038807E-004, 2.8000000E+000
 1.2282654E+000,-7.4044989E-002, 4.4418340E-004, 2.4000000E+000
 1.2303202E+000,-8.0802929E-002, 4.6892238E-004, 2.2000000E+000
 1.2323751E+000,-8.8297802E-002, 4.5665539E-004, 2.6000000E+000
 1.2340189E+000,-9.5539644E-002, 4.6665274E-004, 2.5000000E+000
 1.2360738E+000,-1.0303235E-001, 4.5863196E-004, 2.8000000E+000
 1.2381286E+000,-1.1127308E-001, 4.3213472E-004, 3.0000000E+000
 1.2401835E+000,-1.1912384E-001, 4.5999689E-004, 2.8000000E+000
 1.2422383E+000,-1.2638466E-001, 4.4037184E-004, 3.0000000E+000
 1.2441281E+000,-1.3254590E-001, 4.4434022E-004, 3.4130967E+000
 1.2463464E+000,-1.3698467E-001, 4.4582381E-004, 3.6666667E+000
 1.2481950E+000,-1.3937028E-001, 4.6445285E-004, 4.0000000E+000
 1.2500436E+000,-1.3985587E-001, 4.6543506E-004, 4.4000000E+000
 1.2522619E+000,-1.3866776E-001, 4.6202373E-004, 4.6666667E+000
 1.2541105E+000,-1.3641086E-001, 4.2740273E-004, 5.0000000E+000
 1.2563288E+000,-1.3365262E-001, 4.1996525E-004, 5.0000000E+000
 1.2581774E+000,-1.3062822E-001, 4.5655174E-004, 4.6000000E+000
 1.2600260E+000,-1.2768843E-001, 4.6627497E-004, 4.4000000E+000
 1.2622443E+000,-1.2429320E-001, 4.4972448E-004, 4.3333333E+000
 1.2640929E+000,-1.2084743E-001, 4.4522740E-004, 4.0000000E+000
 1.2663112E+000,-1.1745109E-001, 4.1316513E-004, 3.6666667E+000
 1.2681598E+000,-1.1437514E-001, 4.1010780E-004, 3.0000000E+000
 1.2700084E+000,-1.1218796E-001, 4.6585573E-004, 2.4000000E+000
 1.2722267E+000,-1.1015907E-001, 4.6670956E-004, 2.8333333E+000
 1.2740753E+000,-1.0820246E-001, 4.6048650E-004, 3.4000000E+000
 1.2762936E+000,-1.0755851E-001, 4.4722288E-004, 3.8333333E+000
 1.2781421E+000,-1.0887604E-001, 4.4698091E-004, 4.0000000E+000
 1.2803604E+000,-1.1146577E-001, 4.7871355E-004, 4.0000000E+000
 1.2822090E+000,-1.1533324E-001, 4.5937409E-004, 4.2000000E+000
 1.2840576E+000,-1.2037087E-001, 4.8152627E-004, 4.0000000E+000
 1.2862759E+000,-1.2715082E-001, 4.6481944E-004, 4.1666667E+000
 1.2881245E+000,-1.3518222E-001, 4.6517390E-004, 5.2000000E+000
 1.2903428E+000,-1.4375777E-001, 4.7106064E-004, 5.8333333E+000
 1.2921914E+000,-1.5039348E-001, 4.7382288E-004, 6.0000000E+000
 1.2940400E+000,-1.5571137E-001, 4.6688196E-004, 5.8000000E+000
 1.2962583E+000,-1.5995678E-001, 4.7011379E-004, 5.1666667E+000
 1.2981069E+000,-1.6151257E-001, 4.7047022E-004, 4.4000000E+000
 1.3003252E+000,-1.6084708E-001, 4.4385349E-004, 4.1666667E+000
 1.3021738E+000,-1.5898615E-001, 4.2224178E-004, 4.0000000E+000
 1.3040224E+000,-1.5629017E-001, 4.1901103E-004, 4.0000000E+000
 1.3062407E+000,-1.5214572E-001, 4.2016159E-004, 4.0000000E+000
 1.3080893E+000,-1.4745899E-001, 4.3327220E-004, 3.6000000E+000
 1.3103076E+000,-1.4342787E-001, 4.5347316E-004, 3.1666667E+000
 1.3121562E+000,-1.3962177E-001, 4.8109556E-004, 4.6000000E+000
 1.3140047E+000,-1.3498890E-001, 4.8155880E-004, 6.2000000E+000
 1.3162230E+000,-1.3022800E-001, 4.8265196E-004, 7.6666667E+000
 1.3180716E+000,-1.2557662E-001, 4.7244809E-004, 9.0000000E+000
 1.3202899E+000,-1.1914172E-001, 4.7964446E-004, 8.0000000E+000
 1.3221385E+000,-1.1395100E-001, 4.6048548E-004, 6.2000000E+000
 1.3243195E+000,-1.1259566E-001, 4.6445380E-004, 5.1695201E+000
 1.3263138E+000,-1.1338336E-001, 4.6567610E-004, 4.8333333E+000
 1.3283080E+000,-1.1853733E-001, 4.7874388E-004, 5.0000000E+000
 1.3303023E+000,-1.2756057E-001, 4.8840949E-004, 4.3333333E+000
 1.3322966E+000,-1.3821569E-001, 4.8498829E-004, 3.5000000E+000
 1.3342908E+000,-1.4938131E-001, 4.6876360E-004, 3.1666667E+000
 1.3362851E+000,-1.6175813E-001, 4.6872733E-004, 3.0000000E+000
 1.3382794E+000,-1.7385346E-001, 4.5141674E-004, 2.6666667E+000
 1.3402737E+000,-1.8590170E-001, 4.6336848E-004, 2.5000000E+000
 1.3422679E+000,-1.9809211E-001, 4.8476617E-004, 2.6666667E+000
 1.3442622E+000,-2.0946080E-001, 4.7909295E-004, 3.1666667E+000
 1.3462565E+000,-2.1896447E-001, 4.7864970E-004, 3.5000000E+000
 1.3482507E+000,-2.2668224E-001, 4.7861514E-004, 3.6666667E+000
 1.3502450E+000,-2.3386967E-001, 4.6631328E-004, 4.3333333E+000
 1.3522393E+000,-2.4173016E-001, 4.7636550E-004, 5.3333333E+000
 1.3542336E+000,-2.5000765E-001, 4.8022742E-004, 6.0000000E+000
 1.3562278E+000,-2.5672643E-001, 4.8002455E-004, 6.0000000E+000
 1.3582221E+000,-2.5970200E-001, 4.6427308E-004, 4.8333333E+000
 1.3602164E+000,-2.5639245E-001, 4.5167069E-004, 3.6666667E+000
 1.3622106E+000,-2.4672621E-001, 4.5265957E-004, 3.8333333E+000
 1.3642049E+000,-2.3326706E-001, 4.6992460E-004, 4.1666667E+000
 1.3661992E+000,-2.1555998E-001, 4.5399522E-004, 5.0000000E+000
 1.3681934E+000,-1.9567813E-001, 4.6077852E-004, 5.0000000E+000
 1.3700172E+000,-1.7375976E-001, 4.8452360E-004, 4.5093471E+000
 1.3721052E+000,-1.5159158E-001, 4.8114152E-004, 4.7142857E+000
 1.3741932E+000,-1.3467286E-001, 4.7886151E-004, 4.2857143E+000
 1.3762812E+000,-1.2514528E-001, 4.5963983E-004, 3.7142857E+000
 1.3780709E+000,-1.1970250E-001, 4.6422820E-004, 3.1666667E+000
 1.3801589E+000,-1.1566223E-001, 4.6089110E-004, 3.1428571E+000
 1.3822469E+000,-1.1214707E-001, 4.4588518E-004, 3.0000000E+000
 1.3840366E+000,-1.0953900E-001, 4.5334463E-004, 2.6666667E+000
 1.3861246E+000,-1.0752258E-001, 4.6329821E-004, 3.0000000E+000
 1.3882126E+000,-1.0582194E-001, 4.6572956E-004, 3.1428571E+000
 1.3900023E+000,-1.0600508E-001, 4.5886485E-004, 3.3333333E+000
 1.3920903E+000,-1.0966404E-001, 4.5321756E-004, 3.4285714E+000
